date,total_value,returns
2024-01-02,400000.0,0.0
2024-01-03,394046.75,-1.4883124999999997
2024-01-04,392796.75,-1.8008125000000041
2024-01-05,387796.75,-3.0508124999999997
2024-01-08,382796.75,-4.300812499999996
2024-01-09,380097.76200000005,-4.975559499999993
2024-01-10,389243.76200000005,-2.6890594999999906
2024-01-11,401732.76200000005,0.4331905000000136
2024-01-12,392555.76200000005,-1.861059499999984
2024-01-15,387035.76200000005,-3.2410594999999875
2024-01-16,398903.76200000005,-0.27405949999999013
2024-01-17,384413.76200000005,-3.8965594999999853
2024-01-18,376484.9820000001,-5.8787544999999835
2024-01-19,372833.9820000001,-6.791504499999979
2024-01-22,358526.9820000001,-10.368254499999985
2024-01-23,357616.86400000006,-10.595783999999986
2024-01-24,362206.86400000006,-9.448283999999985
2024-01-25,366040.86400000006,-8.48978399999999
2024-01-26,368578.86400000006,-7.855283999999985
2024-01-29,362738.12000000005,-9.315469999999982
2024-01-30,379118.12000000005,-5.220469999999988
2024-01-31,370262.12000000005,-7.4344699999999815
2024-02-01,338156.12000000005,-15.460969999999985
2024-02-02,355142.12000000005,-11.214469999999988
2024-02-05,317936.12000000005,-20.51596999999998
2024-02-06,312296.01600000006,-21.92599599999998
2024-02-07,311324.01600000006,-22.168995999999986
2024-02-08,322988.01600000006,-19.25299599999999
2024-02-19,333410.01600000006,-16.647495999999983
2024-02-20,334490.01600000006,-16.37749599999998
2024-02-21,339242.01600000006,-15.18949599999998
2024-02-22,336056.01600000006,-15.98599599999998
2024-02-23,332492.01600000006,-16.876995999999988
2024-02-26,333194.01600000006,-16.70149599999998
2024-02-27,332438.01600000006,-16.890495999999988
2024-02-28,322826.01600000006,-19.293495999999987
2024-02-29,324608.01600000006,-18.847995999999988
2024-03-01,327038.01600000006,-18.240495999999983
2024-03-04,325688.01600000006,-18.577995999999985
2024-03-05,331358.01600000006,-17.16049599999998
2024-03-06,329468.01600000006,-17.63299599999999
2024-03-07,340106.01600000006,-14.973495999999987
2024-03-08,333626.01600000006,-16.593495999999984
2024-03-11,335408.01600000006,-16.147995999999985
2024-03-12,335973.04000000004,-16.006739999999986
2024-03-13,333645.6780000001,-16.588580499999985
2024-03-14,328926.6780000001,-17.768330499999983
2024-03-15,331356.67799999996,-17.160830500000014
2024-03-18,333624.6780000001,-16.593830499999985
2024-03-19,329235.67799999996,-17.691080500000012
2024-03-20,328932.67799999996,-17.766830500000008
2024-03-21,323562.67799999996,-19.10933050000001
2024-03-22,314028.67799999996,-21.492830500000014
2024-03-25,306753.6780000001,-23.311580499999984
2024-03-26,306539.38300000003,-23.365154249999996
2024-03-27,305570.38300000003,-23.60740425
2024-03-28,314881.103,-21.279724249999997
2024-03-29,322499.10300000006,-19.375224249999988
2024-04-01,326083.103,-18.479224250000005
2024-04-02,330670.10300000006,-17.332474249999986
2024-04-03,326444.10300000006,-18.38897424999999
2024-04-08,321871.10300000006,-19.532224249999985
2024-04-09,316150.103,-20.962474249999996
2024-04-10,308968.10300000006,-22.75797424999998
2024-04-11,310633.10300000006,-22.341724249999984
2024-04-12,315558.103,-21.11047425
2024-04-15,313277.103,-21.680724249999994
2024-04-16,305355.103,-23.66122425
2024-04-17,307880.10300000006,-23.029974249999984
2024-04-18,306562.10300000006,-23.35947424999999
2024-04-19,309318.103,-22.670474249999994
2024-04-22,314176.10300000006,-21.455974249999986
2024-04-23,315492.10300000006,-21.126974249999986
2024-04-24,315607.10300000006,-21.098224249999987
2024-04-25,314031.103,-21.492224250000003
2024-04-26,316695.56100000005,-20.826109749999986
2024-04-29,318671.56100000005,-20.332109749999994
2024-04-30,319243.56100000005,-20.18910974999999
2024-05-06,320179.56100000005,-19.955109749999988
2024-05-07,330319.56100000005,-17.42010974999999
2024-05-08,330579.56100000005,-17.355109749999986
2024-05-09,327043.56100000005,-18.239109749999994
2024-05-10,322363.56100000005,-19.409109749999985
2024-05-13,317631.5610000001,-20.592109749999977
2024-05-14,318775.56100000005,-20.30610974999999
2024-05-15,325483.56100000005,-18.629109749999984
2024-05-16,324807.56100000005,-18.79810974999999
2024-05-17,324755.56100000005,-18.81110974999999
2024-05-20,323693.45300000004,-19.076636749999988
2024-05-21,320865.14300000004,-19.783714249999996
2024-05-22,325765.14300000004,-18.558714249999987
2024-05-23,324295.14300000004,-18.926214249999994
2024-05-24,318806.8260000001,-20.298293499999975
2024-05-27,318589.8260000001,-20.352543499999975
2024-05-28,316167.8260000001,-20.958043499999967
2024-05-29,306833.9260000001,-23.291518499999974
2024-05-30,302598.9260000001,-24.35026849999997
2024-05-31,303473.9260000001,-24.13151849999997
2024-06-03,307393.9260000001,-23.15151849999998
2024-06-04,307743.9260000001,-23.06401849999997
2024-06-05,295493.9260000001,-26.126518499999975
2024-06-06,291923.9260000001,-27.01901849999998
2024-06-07,292938.9260000001,-26.765268499999973
2024-06-11,292607.72600000014,-26.848068499999968
2024-06-12,297188.92000000016,-25.702769999999965
2024-06-13,292454.92000000016,-26.886269999999957
2024-06-14,292454.92000000016,-26.886269999999957
2024-06-17,290350.92000000016,-27.41226999999996
2024-06-18,297911.08800000016,-25.52222799999996
2024-06-19,298821.08800000016,-25.294727999999957
2024-06-20,290731.08800000016,-27.31722799999996
2024-06-21,288297.08800000016,-27.92572799999996
2024-06-24,278671.08800000016,-30.33222799999996
2024-06-25,280867.08800000016,-29.783227999999962
2024-06-26,288955.08800000016,-27.76122799999996
2024-06-27,282395.08800000016,-29.401227999999957
2024-06-28,284365.08800000016,-28.90872799999996
2024-07-01,287341.08800000016,-28.16472799999996
2024-07-02,288001.08800000016,-27.99972799999996
2024-07-03,285937.08800000016,-28.515727999999964
2024-07-04,282831.08800000016,-29.292227999999966
2024-07-05,284793.08800000016,-28.80172799999996
2024-07-08,276465.08800000016,-30.883727999999955
2024-07-09,278821.08800000016,-30.29472799999996
2024-07-10,271729.08800000016,-32.06772799999996
2024-07-11,282667.43200000015,-29.333141999999967
2024-07-12,279979.43200000015,-30.005141999999964
2024-07-15,279499.43200000015,-30.12514199999996
2024-07-16,279643.43200000015,-30.089141999999967
2024-07-17,275947.43200000015,-31.01314199999996
2024-07-18,279414.2400000001,-30.146439999999973
2024-07-19,277406.2400000002,-30.648439999999944
2024-07-22,276550.2400000002,-30.862439999999946
2024-07-23,270262.2400000002,-32.434439999999945
2024-07-24,267190.2400000002,-33.202439999999946
2024-07-25,268102.2400000002,-32.97443999999995
2024-07-26,273158.2400000002,-31.71043999999994
2024-07-29,274190.2400000002,-31.45243999999995
2024-07-30,274254.2400000002,-31.436439999999944
2024-07-31,283678.2400000002,-29.08043999999994
2024-08-01,284180.88800000015,-28.95477799999996
2024-08-02,281632.86300000024,-29.591784249999943
2024-08-05,269454.8630000002,-32.63628424999996
2024-08-06,273319.8630000002,-31.670034249999958
2024-08-07,272059.5530000002,-31.98511174999995
2024-08-08,276619.5530000002,-30.845111749999955
2024-08-09,271907.5530000002,-32.023111749999956
2024-08-12,270843.5530000002,-32.289111749999954
2024-08-13,271299.5530000002,-32.17511174999995
2024-08-14,269323.5530000002,-32.669111749999956
2024-08-15,268411.5530000002,-32.89711174999995
2024-08-16,267651.5530000002,-33.087111749999956
2024-08-19,265523.5530000002,-33.61911174999995
2024-08-20,258574.94300000017,-35.35626424999996
2024-08-21,258914.94300000017,-35.27126424999996
2024-08-22,255168.94300000017,-36.207764249999954
2024-08-23,251566.94300000017,-37.108264249999955
2024-08-26,256292.94300000017,-35.926764249999955
2024-08-27,252510.94300000017,-36.87226424999995
2024-08-28,254392.94300000017,-36.40176424999996
2024-08-29,257002.94300000017,-35.74926424999995
2024-08-30,262922.9430000002,-34.26926424999996
2024-09-02,259818.20700000017,-35.04544824999996
2024-09-03,262917.5530000002,-34.27061174999996
2024-09-04,261109.5530000002,-34.722611749999956
2024-09-05,262471.5530000002,-34.38211174999996
2024-09-06,254755.55300000013,-36.31111174999997
2024-09-09,254035.55300000013,-36.49111174999997
2024-09-10,257989.5530000002,-35.50261174999996
2024-09-11,254099.55300000013,-36.47511174999997
2024-09-12,253803.5530000002,-36.54911174999995
2024-09-13,251093.55300000013,-37.226611749999975
2024-09-18,248629.5530000002,-37.84261174999995
2024-09-19,258887.5530000002,-35.27811174999995
2024-09-20,260797.35300000018,-34.80066174999995
2024-09-23,262635.4110000002,-34.34114724999995
2024-09-24,280331.4110000002,-29.917147249999953
2024-09-25,284671.4110000002,-28.832147249999952
2024-09-26,302549.4110000002,-24.362647249999945
2024-09-27,320245.4110000002,-19.938647249999953
2024-09-30,348609.4110000002,-12.84764724999995
2024-10-08,376549.16700000013,-5.8627082499999705
2024-10-09,351982.1670000002,-12.00445824999995
2024-10-10,354740.1670000002,-11.31495824999995
2024-10-11,353378.1670000002,-11.65545824999995
2024-10-14,368944.1670000002,-7.763958249999947
2024-10-15,357722.1670000002,-10.569458249999952
2024-10-16,360858.1670000002,-9.785458249999957
2024-10-17,349296.1670000002,-12.675958249999953
2024-10-18,353680.1670000002,-11.579958249999954
2024-10-21,353870.1670000002,-11.532458249999955
2024-10-22,360784.1670000002,-9.803958249999955
2024-10-23,370154.16700000013,-7.461458249999964
2024-10-24,366868.1670000002,-8.28295824999995
2024-10-25,374312.1670000002,-6.421958249999948
2024-10-28,376871.0530000002,-5.782236749999948
2024-10-29,384745.1850000003,-3.8137037499999304
2024-10-30,406288.1850000003,1.5720462500000698
2024-10-31,406712.1850000002,1.6780462500000537
2024-11-01,394970.1850000003,-1.257453749999926
2024-11-04,392132.1850000003,-1.9669537499999223
2024-11-05,415986.1850000003,3.996546250000077
2024-11-06,422175.1850000003,5.543796250000077
2024-11-07,433932.1850000002,8.483046250000047
2024-11-08,425077.6450000002,6.269411250000045
2024-11-11,444988.8450000003,11.247211250000078
2024-11-12,431320.8450000002,7.830211250000052
2024-11-13,422318.8450000002,5.579711250000052
2024-11-14,405292.8450000003,1.323211250000078
2024-11-15,383252.8450000002,-4.186788749999948
2024-11-18,376283.8450000002,-5.929038749999949
2024-11-19,375227.53500000027,-6.19311624999993
2024-11-20,381538.53500000027,-4.61536624999993
2024-11-21,379538.53500000027,-5.115366249999931
2024-11-22,365217.6900000003,-8.69557749999993
2024-11-25,381442.6900000003,-4.639327499999924
2024-11-26,380077.6900000003,-4.980577499999928
2024-11-27,385847.6900000003,-3.5380774999999254
2024-11-28,398752.6900000003,-0.3118274999999282
2024-11-29,404252.6900000003,1.0631725000000758
2024-12-02,411747.6900000003,2.936922500000083
2024-12-03,412747.6900000003,3.186922500000078
2024-12-04,390397.6900000003,-2.400577499999923
2024-12-05,399167.6900000003,-0.20807749999992575
2024-12-06,415252.6900000003,3.813172500000084
2024-12-09,425827.6900000003,6.456922500000073
2024-12-10,431187.6900000003,7.796922500000081
2024-12-11,449682.6900000003,12.420672500000073
2024-12-12,458682.6900000003,14.67067250000007
2024-12-13,447867.6900000003,11.966922500000067
2024-12-16,451957.6900000003,12.989422500000082
2024-12-17,418697.6900000003,4.674422500000075
2024-12-18,413652.6900000003,3.4131725000000834
2024-12-19,407427.6900000003,1.8569225000000689
2024-12-20,428592.6900000002,7.1481725000000385
2024-12-23,409727.6900000003,2.4319225000000833
2024-12-24,404457.6900000003,1.1144225000000674
2024-12-25,394052.6900000003,-1.486827499999932
2024-12-26,409632.6900000002,2.40817250000005
2024-12-27,402957.6900000003,0.7394225000000754
2024-12-30,418757.6900000002,4.68942250000004
2024-12-31,450737.6900000003,12.684422500000082
