date,stock,action,price,size,pnl_pct,reason
2024-01-02,600228,BUY,8.0,25000,0.0,选股买入 目标50%
2024-01-03,300875,BUY,36.01,5400,0.0,选股买入 目标50%
2024-01-08,301511,BUY,27.71,6900,0.0,选股买入 目标50%
2024-01-09,600228,SELL,7.25,25000,-9.38,止损 -8.67%
2024-01-17,603199,BUY,35.42,5400,0.0,选股买入 目标50%
2024-01-22,301511,SELL,23.82,6900,-14.04,止损 -10.99%
2024-01-26,301508,BUY,37.89,4800,0.0,选股买入 目标50%
2024-02-05,301508,SELL,35.0,4800,-7.63,止损 -9.34%
2024-03-11,603199,SELL,34.06,5400,-3.84,持满 31 天
2024-03-12,605090,BUY,29.2,5700,0.0,选股买入 目标50%
2024-03-12,603901,BUY,10.17,16500,0.0,选股买入 目标50%
2024-03-25,603901,SELL,9.48,16500,-6.78,止损 -8.26%
2024-03-26,300946,BUY,25.39,6000,0.0,选股买入 目标50%
2024-03-27,300862,BUY,28.99,5200,0.0,选股买入 目标50%
2024-04-25,605090,SELL,25.78,5700,-11.71,止损 -10.21%
2024-05-17,300862,SELL,33.33,5200,14.97,持满 31 天
2024-05-20,300870,BUY,46.06,3500,0.0,选股买入 目标50%
2024-05-20,301349,BUY,34.36,4700,0.0,选股买入 目标50%
2024-05-21,600367,BUY,12.89,12400,0.0,选股买入 目标50%
2024-05-23,301325,BUY,73.98,2100,0.0,选股买入 目标50%
2024-05-28,301325,SELL,50.02,2100,-32.39,止损 -12.62%
2024-06-07,300870,SELL,44.05,3500,-4.36,止损 -8.02%
2024-06-11,600243,BUY,2.78,52600,0.0,选股买入 目标50%
2024-06-11,600501,BUY,14.4,10100,0.0,选股买入 目标50%
2024-06-17,605090,BUY,30.0,4800,0.0,选股买入 目标50%
2024-07-10,600243,SELL,2.59,52600,-6.83,止损 -8.63%
2024-07-15,301251,BUY,32.69,4200,0.0,选股买入 目标50%
2024-07-17,603968,BUY,9.04,15200,0.0,选股买入 目标50%
2024-07-31,605090,SELL,28.2,4800,-6.0,持满 31 天
2024-08-01,600361,BUY,4.23,33500,0.0,选股买入 目标50%
2024-08-06,600361,SELL,3.91,33500,-7.57,止损 -8.28%
2024-08-19,600345,BUY,16.03,8200,0.0,选股买入 目标50%
2024-08-30,603968,SELL,8.73,15200,-3.43,持满 31 天
2024-09-02,603980,BUY,3.43,37800,0.0,选股买入 目标50%
2024-09-19,600345,SELL,14.98,8200,-6.55,止损 -8.32%
2024-09-20,600117,BUY,1.98,65800,0.0,选股买入 目标50%
2024-09-30,600117,SELL,2.86,65800,44.44,止盈 33.53%
2024-10-08,000886,BUY,5.53,34000,0.0,选股买入 目标50%
2024-10-25,603980,SELL,4.08,37800,18.95,持满 31 天
2024-10-28,600078,BUY,6.94,27100,0.0,选股买入 目标50%
2024-11-07,000886,SELL,6.44,34000,16.46,止盈 31.29%
2024-11-08,600353,BUY,8.77,24200,0.0,选股买入 目标50%
2024-11-18,600078,SELL,6.27,27100,-9.65,止损 -12.23%
2024-11-18,600353,SELL,8.02,24200,-8.55,止损 -10.98%
2024-11-19,600358,BUY,3.75,50000,0.0,选股买入 目标50%
2024-11-19,300868,BUY,28.54,6500,0.0,选股买入 目标50%
2024-11-20,600381,BUY,3.16,60300,0.0,选股买入 目标50%
2024-11-21,600530,BUY,3.48,54500,0.0,选股买入 目标50%
