date,value
2024-01-02,400000.00000000006
2024-01-03,399941.83628250076
2024-01-04,400151.6633504934
2024-01-05,399876.49694904115
2024-01-08,399179.4484250585
2024-01-09,398681.6451941106
2024-01-10,398700.20992886834
2024-01-11,399970.9413174276
2024-01-12,398694.12234247394
2024-01-15,398514.1461222615
2024-01-16,397734.5857466474
2024-01-17,397396.9379424703
2024-01-18,396007.880545353
2024-01-19,396909.39584110875
2024-01-22,394683.52226264984
2024-01-23,394707.42270401155
2024-01-24,397173.9818073516
2024-01-25,398611.35565658397
2024-01-26,400784.79883629095
2024-01-29,399948.38487697137
2024-01-30,398228.28011994605
2024-01-31,396548.1680099868
2024-02-01,393650.37885031174
2024-02-02,396137.6586587399
2024-02-05,393017.51802140084
2024-02-06,390594.6016681128
2024-02-07,386830.53683115134
2024-02-08,387112.6556737671
2024-02-19,388795.9330990048
2024-02-20,389714.4366140679
2024-02-21,390014.15511605324
2024-02-22,390769.34514029993
2024-02-23,392953.05873973796
2024-02-26,393825.14738387294
2024-02-27,394663.1141088355
2024-02-28,392121.6099230092
2024-02-29,393777.94242226536
2024-03-01,393698.15514554665
2024-03-04,393318.94801513787
2024-03-05,392781.38157311385
2024-03-06,393108.8296735036
2024-03-07,392954.76842675894
2024-03-08,393914.5729417435
2024-03-11,394924.0092467694
2024-03-12,394817.8338024247
2024-03-13,394561.1265640929
2024-03-14,394538.77985630627
2024-03-15,395274.97511036246
2024-03-18,396337.0038334029
2024-03-19,396235.87021986407
2024-03-20,396085.8083046434
2024-03-21,396757.10049782915
2024-03-22,395596.47491814324
2024-03-25,395033.0815343618
2024-03-26,395473.2418365803
2024-03-27,394177.21018123784
2024-03-28,395145.23415295884
2024-03-29,394652.42753024324
2024-04-01,395653.2725827658
2024-04-02,395189.76143866096
2024-04-03,394739.357237926
2024-04-08,393768.04589498945
2024-04-09,393747.17608991737
2024-04-10,392424.05777524394
2024-04-11,392382.9240007688
2024-04-12,391920.14273235004
2024-04-15,389893.62965150725
2024-04-16,386721.3943853306
2024-04-17,389024.67217387375
2024-04-18,388737.61524650996
2024-04-19,388764.9631237737
2024-04-22,388734.6435995107
2024-04-23,388582.00148939725
2024-04-24,389225.3936117657
2024-04-25,388275.8105414865
2024-04-26,388977.15447220445
2024-04-29,390112.98767442285
2024-04-30,389395.49624436453
2024-05-06,390230.9997349633
2024-05-07,390145.8151497595
2024-05-08,389304.1376652088
2024-05-09,390010.5834490304
2024-05-10,389872.1675698434
2024-05-13,388887.9079306583
2024-05-14,389660.5879606229
2024-05-15,389364.5828499054
2024-05-16,389369.1054075396
2024-05-17,389550.54887450254
2024-05-20,390082.1425615597
2024-05-21,389343.8695678855
2024-05-22,389286.72366205626
2024-05-23,388164.04814368417
2024-05-24,387895.1210781342
2024-05-27,388510.94230995636
2024-05-28,387829.8438724301
2024-05-29,387945.8986270476
2024-05-30,387606.7508281447
2024-05-31,387606.8998398557
2024-06-03,386384.4629821812
2024-06-04,386683.4307513237
2024-06-05,385890.6032061837
2024-06-06,384658.28584709245
2024-06-07,385418.2081641445
2024-06-11,385912.08237539825
2024-06-12,385666.12438294594
2024-06-13,385130.7830540652
2024-06-14,385333.58256785653
2024-06-17,384992.14472918544
2024-06-18,385580.6704802973
2024-06-19,385310.3157395006
2024-06-20,384094.88983823155
2024-06-21,384258.26097928046
2024-06-24,383237.1354943028
2024-06-25,383975.2763369749
2024-06-26,383886.3252456457
2024-06-27,383112.7452319955
2024-06-28,382907.4696117255
